Date,Open,High,Low,Close,Adj Close,Volume
2021-11-22,462.339996,463.899994,457.769989,458.970001,452.128387,112669600
2021-11-29,464.070007,466.559998,448.920013,453.420013,446.661102,631737000
2021-12-06,456.130005,470.899994,453.559998,470.739990,463.722900,405133400
2021-12-13,470.190002,472.869995,458.059998,459.869995,453.014923,553968300
2021-12-20,454.480011,472.190002,451.140015,470.600006,465.213684,292271000
2021-12-27,472.059998,479.000000,472.010010,474.959991,469.523773,279152600
2022-01-03,476.299988,479.980011,464.649994,466.089996,460.755310,420356300
2022-01-10,462.700012,473.200012,456.600006,464.720001,459.401001,448334500
2022-01-17,459.739990,459.959991,437.950012,437.980011,432.967041,543717600
2022-01-24,432.029999,444.040009,420.760010,441.950012,436.891602,920508000
2022-01-31,441.239990,458.119995,439.809998,448.700012,443.564331,629246600
2022-02-07,449.510010,457.880005,438.940002,440.459991,435.418640,551393100
2022-02-14,439.920013,448.059998,431.820007,434.230011,429.259979,531254600
2022-02-21,431.890015,437.839996,410.640015,437.750000,432.739685,592717200
2022-02-28,432.029999,441.109985,427.109985,432.170013,427.223572,620607300
2022-03-07,431.549988,432.299988,415.119995,420.070007,415.262054,609269100
2022-03-14,420.890015,444.859985,415.790009,444.519989,439.432190,555925500
2022-03-21,444.339996,452.980011,440.679993,452.690002,448.898926,384264500
2022-03-28,452.059998,462.070007,449.140015,452.920013,449.127014,445526900
2022-04-04,453.130005,457.829987,443.470001,447.570007,443.821808,398083400
2022-04-11,444.109985,445.750000,436.649994,437.790009,434.123718,346074000
2022-04-18,436.809998,450.010010,425.440002,426.040009,422.472107,426937000
2022-04-25,423.670013,429.640015,411.209991,412.000000,408.549683,596614200
2022-05-02,412.070007,429.660004,405.019989,411.339996,407.895203,727288500
2022-05-09,405.100006,406.410004,385.149994,401.720001,398.355774,659709500
2022-05-16,399.980011,408.570007,380.540009,389.630005,386.367035,509269500
2022-05-23,392.829987,415.380005,386.959991,415.260010,411.782379,426273600
2022-05-30,413.549988,417.440002,406.929993,410.540009,407.101929,334006700
2022-06-06,414.779999,416.609985,389.750000,389.799988,386.535583,400315000
2022-06-13,379.850006,383.899994,362.170013,365.859985,362.796082,645270700
2022-06-20,371.890015,390.089996,370.179993,390.079987,388.484161,344213700
2022-06-27,391.049988,393.160004,372.559998,381.239990,379.680328,405582500
2022-07-04,375.880005,390.640015,372.899994,388.670013,387.079956,288787900
2022-07-11,385.850006,386.869995,371.040009,385.130005,383.554443,373575900
2022-07-18,388.380005,400.179993,380.660004,395.089996,393.473663,350654600
2022-07-25,395.750000,413.029999,389.950012,411.989990,410.304535,349890300
2022-08-01,409.149994,415.679993,406.820007,413.470001,411.778473,303725000
2022-08-08,415.250000,427.209991,410.220001,427.100006,425.352722,288667800
2022-08-15,424.769989,431.730011,421.220001,422.140015,420.413025,293940800
2022-08-22,417.049988,419.959991,405.250000,405.309998,403.651855,330007900
2022-08-29,402.200012,405.839996,390.040009,392.239990,390.635315,405425100
2022-09-05,393.130005,407.510010,388.420013,406.600006,404.936584,305130200
2022-09-12,408.779999,411.730011,382.109985,385.559998,383.982666,467945700
2022-09-19,382.260010,389.309998,363.290009,367.950012,367.950012,469119500
2022-09-26,366.410004,372.299988,357.040009,357.179993,357.179993,578341000
2022-10-03,361.079987,379.459991,359.209991,362.790009,362.790009,471548000
2022-10-10,363.959991,370.260010,348.109985,357.630005,357.630005,516508900
2022-10-17,364.010010,375.450012,357.279999,374.290009,374.290009,489399500
2022-10-24,375.890015,389.519989,373.109985,389.019989,389.019989,450644300
2022-10-31,386.440002,390.390015,368.790009,376.350006,376.350006,499579000
2022-11-07,377.709991,399.350006,373.609985,398.510010,398.510010,466637900
2022-11-14,396.660004,402.309998,390.140015,396.029999,396.029999,400886300
2022-11-21,394.640015,402.929993,392.660004,402.329987,402.329987,210479200
2022-11-25,401.829987,402.899994,401.535004,402.329987,402.329987,30545434
